SampleID	Replicate	Sample_Type	Species	Shifting	GutSection	Site	Location	FishFeeding	keep	CNAnalyse	Mass	Carbon	Nitrogen	CNRatio	AlgaeContentAnalyse	Algae	Detritus	Animalmatter	Other	FishMetaAnalyse	Std_length 	Fork_length	Total_length	Weight	Otolith_weightL	Otolith_weightR	Log_std_length	Log_weight	FultonsK
X3T_HG	57	Fish	A.triostegus	Range_shifting	HG	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	n	100	0	0	0	y	188	219	220	270.4	0.02	0.0189	2.2742	2.432	0.034
X4T_HG	58	Fish	A.triostegus	Range_shifting	HG	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	n	87.88	0	0	12.12	y	141	163	165	113.5	0.0068	0.0059	2.1492	2.055	0.03
X5T_HG	59	Fish	A.triostegus	Range_shifting	HG	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	y	89.57	0	0	10.43	y	144	170	173	140.9	NA	0.011	2.1584	2.1489	0.035
X6T_HG	60	Fish	A.triostegus	Range_shifting	HG	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	n	100	0	0	0	y	150	183	185	176.2	0.0112	0.0099	2.1761	2.246	0.04
X7T_HG	61	Fish	A.triostegus	Range_shifting	HG	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	n	77	1	2	20	y	162	185	187	161.8	0.0099	0.0098	2.2095	2.209	0.03
X8T_HG	62	Fish	A.triostegus	Range_shifting	HG	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	n	83.53	0	0	16.47	y	177	204	206	225.4	0.0135	0.0135	2.248	2.353	0.033
X9T_HG	63	Fish	A.triostegus	Range_shifting	HG	Lagoon_entrance_east	Lagoon	NA	yes	n	NA	NA	NA	NA	n	64.08	0.97	5.83	29.13	y	157	190	195	167.5	0.0118	0.00124	2.1959	2.224	0.034
X11EAM		EAM	EAM		EAM	South_Algae_Flats	Outer_reef	Nigricans	yes	n	0	0	0	0	y	79.17	20.83	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X12EAM		EAM	EAM		EAM	South_Algae_Flats	Outer_reef	Nigricans	yes	y	0.0203	12.23	0.72	17.03579886	y	54.73	45.27	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X13EAM		EAM	EAM		EAM	South_Algae_Flats	Outer_reef	Nigricans	yes	y	0.0431	14.11	0.53	26.73867728	y	71.63	28.37	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X14EAM		EAM	EAM		EAM	South_Algae_Flats	Outer_reef		yes	y	0.0879	13.54	0.36	38.08720113	y	0	0	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X15EAM		NA	NA		NA	NA	NA	NA	no	n	0	0	0	0	y	0	0	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X16EAM		NA	NA		NA	NA	NA	NA	no	n	0	0	0	0	y	0	0	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X17EAM		EAM	EAM		EAM	Lagoon_entrance_east	Lagoon	Triostegus	yes	y	0.0251	13.39	0.82	16.33325201	y	93.43	6.57	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X18EAM		EAM	EAM		EAM	Lagoon_entrance_east	Lagoon	Triostegus	yes	y	0.2111	11.12	0.12	95.12403764	y	31.98	68.02	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X19EAM		EAM	EAM		EAM	Lagoon_entrance_east	Lagoon	Triostegus	yes	y	0.0117	13.06	1.45	9.025570145	y	80.18	18.92	0.9	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X20EAM		EAM	EAM		EAM	Lagoon_entrance_east	Lagoon	Triostegus	yes	y	0.0681	12.34	0.28	43.72785259	y	78.41	21.59	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X21EAM		EAM	EAM		EAM	Lagoon_entrance_east	Lagoon	Triostegus	yes	n	0	0	0	0	y	99.04	0.96	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X22EAM		EAM	EAM		EAM	Lagoon_entrance_east	Lagoon	Triostegus	yes	y	0.1983	11.33	0.19	60.42666667	y	41.18	58.82	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X23EAM		NA	NA		NA	NA	NA	NA	no	n	0	0	0	0	y	0	0	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X24EAM		EAM	EAM		EAM	Lagoon_entrance_west	Lagoon	Nigricauda	yes	y	0.0713	12.34	0.33	36.86883777	y	85.21	14.79	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X25EAM		EAM	EAM		EAM	Lagoon_entrance_west	Lagoon	Nigricauda	yes	y	0.0184	11.42	0.87	13.11889719	y	8.75	47.5	1.25	42.5	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X26EAM		EAM	EAM		EAM	Lagoon_entrance_west	Lagoon	Nigricauda	yes	y	0.0767	12.26	0.21	58.5202864	y	10.23	12.5	0	77.27	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X27EAM		EAM	EAM		EAM	Lagoon_entrance_west	Lagoon	Nigricauda	yes	y	0.5088	8.06	0.1	81.02512563	y	14.57	85.43	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X28EAM		NA	NA		NA	NA	NA	NA	no	y	0.206	6.82	0.13	50.51890289	y	0	0	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X29EAM		EAM	EAM		EAM	Lagoon_entrance_west	Lagoon	Nigricauda	yes	y	0.1352	12.13	0.16	74.50859951	y	35.33	64.67	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X30EAM		EAM	EAM		EAM	Lagoon_entrance_west	Lagoon	Nigricauda	yes	y	0.0618	12.22	0.31	39.80456026	y	76.21	23.79	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X31EAM		EAM	EAM		EAM	Lagoon_entrance_west	Lagoon	Nigricauda	yes	y	0.0503	11.93	0.32	36.93498452	y	19.7	77.27	3.03	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X32EAM		EAM	EAM		EAM	Lagoon_entrance_west	Lagoon	Nigricauda	yes	y	0.227	11.49	0.16	72.08281054	y	30.22	69.33	0.44	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X33EAM		EAM	EAM		EAM	Keyhole	Outer_reef	Dussumieri_Olivaceus	yes	y	0.5134	7.08	0.09	77.35519126	y	86.11	0	13.89	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X34EAM		EAM	EAM		EAM	Keyhole	Outer_reef		yes	y	0.3048	5.13	0.11	47.82851817	y	0	0	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X35EAM		EAM	EAM		EAM	Keyhole	Outer_reef	Dussumieri_Olivaceus	yes	y	0.0572	12.02	0.29	41.27747253	y	34.22	63.1	2.67	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X36EAM		EAM	EAM		EAM	Keyhole	Outer_reef	Dussumieri_Olivaceus	yes	y	0.0808	12.32	0.28	44.31654676	y	54.48	44.83	0.69	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X37EAM		EAM	EAM		EAM	Keyhole	Outer_reef	Dussumieri_Olivaceus	yes	y	0.3286	9.68	0.11	90.06511628	y	23.68	75.26	1.05	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X38EAM		EAM	EAM		EAM	Keyhole	Outer_reef	Dussumieri_Olivaceus	yes	y	0.1071	12.47	0.24	52.74957699	y	52.27	46.02	1.7	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X39EAM		EAM	EAM		EAM	Keyhole	Outer_reef	Dussumieri_Olivaceus	yes	y	0.3425	10.24	0.11	96.33113829	y	41.5	58.5	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X4EAM		EAM	EAM		EAM	South_Algae_Flats	Outer_reef	Nigricans	yes	y	0.0126	15.37	1.78	8.65915493	y	79.15	19.54	1.3	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X40EAM		EAM	EAM		EAM	Keyhole	Outer_reef	Dussumieri_Olivaceus	yes	y	0.1085	12.07	0.17	71.42011834	y	11.19	88.81	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X41EAM		EAM	EAM		EAM	Keyhole	Outer_reef	Dussumieri_Olivaceus	yes	y	0.5146	8.36	0.09	98.12206573	y	53.88	45.21	0.46	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X42EAM		EAM	EAM		EAM	Keyhole	Outer_reef	Dussumieri_Olivaceus	yes	y	0.4596	8.63	0.09	93.59002169	y	33.65	65.88	0.47	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X43EAM		EAM	EAM		EAM	Outer_Algae_Flats	Outer_reef	Olivaceus_Grammoptilus	yes	y	0.0819	12.08	0.21	58.1048581	y	25.83	72.5	0.83	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X44EAM		EAM	EAM		EAM	Outer_Algae_Flats	Outer_reef	Olivaceus_Grammoptilus	yes	y	0.1777	12.01	0.17	71.61598092	y	34.87	65.13	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X45EAM		EAM	EAM		EAM	Outer_Algae_Flats	Outer_reef	Olivaceus_Grammoptilus	yes	y	0.2306	12.22	0.23	54.21472937	y	68.57	31.43	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X46EAM		EAM	EAM		EAM	Outer_Algae_Flats	Outer_reef	Olivaceus_Grammoptilus	yes	y	0.1961	11.98	0.16	76.79487179	y	51.41	48.59	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X47EAM		EAM	EAM		EAM	Outer_Algae_Flats	Outer_reef	Olivaceus_Grammoptilus	yes	y	0.1539	12.4	0.25	49.18683062	y	45.59	54.41	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X48EAM		EAM	EAM		EAM	Outer_Algae_Flats	Outer_reef	Olivaceus_Grammoptilus	yes	y	0.1306	12.19	0.2	59.93117011	y	48.98	48.3	2.72	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X49EAM		EAM	EAM		EAM	Outer_Algae_Flats	Outer_reef	Olivaceus_Grammoptilus	yes	y	0.0523	13.71	0.55	24.82796088	y	83.33	16.67	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X5EAM		EAM	EAM		EAM	South_Algae_Flats	Outer_reef	Nigricans	yes	y	0.1287	12.82	0.27	47.74674115	y	53.85	46.15	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X50EAM		NA	NA		NA	NA	NA	NA	no	n	0	0	0	0	y	0	0	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X51EAM		EAM	EAM		EAM	Outer_Algae_Flats	Outer_reef	Olivaceus_Grammoptilus	yes	y	0.1934	12.45	0.3	42.04660588	y	66.67	31.03	2.3	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X52EAM		EAM	EAM		EAM	Outer_Algae_Flats	Outer_reef	Olivaceus_Grammoptilus	yes	y	0.1164	12.61	0.22	56.62325999	y	46.81	45.21	2.66	5.32	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X6EAM		NA	NA		NA	NA	NA	NA	no	n	0	0	0	0	y	0	0	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X7EAM		EAM	EAM		EAM	South_Algae_Flats	Outer_reef	Nigricans	yes	y	0.0087	13.55	1.71	7.910099241	y	70.07	29.93	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X8EAM		EAM	EAM		EAM	South_Algae_Flats	Outer_reef	Nigricans	yes	n	0	0	0	0	y	72.73	27.27	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
X9EAM		NA	NA		NA	NA	NA	NA	no	n	0	0	0	0	y	0	0	0	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
W1_1		Water	Water		Water	Water	Water	Water	yes	n	NA	NA	NA	NA	n	NA	NA	NA	NA	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
W1_2		Water	Water		Water	Water	Water	Water	yes	n	NA	NA	NA	NA	n	NA	NA	NA	NA	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
W2		Water	Water		Water	Water	Water	Water	yes	n	NA	NA	NA	NA	n	NA	NA	NA	NA	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
W3		Water	Water		Water	Water	Water	Water	yes	n	NA	NA	NA	NA	n	NA	NA	NA	NA	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
W4		Water	Water		Water	Water	Water	Water	yes	n	NA	NA	NA	NA	n	NA	NA	NA	NA	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
W5		Water	Water		Water	Water	Water	Water	yes	n	NA	NA	NA	NA	n	NA	NA	NA	NA	n	NA	NA	NA	NA	NA	NA	NA	NA	NA
