SampleID	Replicate	Sample_Type	Species	Shifting	GutSection	Site	Location	FishFeeding	keep	CNAnalyse	Mass	Carbon	Nitrogen	CNRatio	AlgaeContentAnalyse	Algae	Detritus	Animalmatter	Other	FishMetaAnalyse	Std_length 	Fork_length	Total_length	Weight	Otolith_weightL	Otolith_weightR	Log_std_length	Log_weight	FultonsK
X9D_HG	13	Fish	A.dussumieri	Range_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	51.79	48.21	0	0	y	205	237	255	322.8	0.0222	0.024	2.3118	2.5089	0.008
X1G_GW	14	Fish	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	64.37	35.63	0	0	y	198	231	260	320.7	0.0195	0.0197	2.2967	2.5061	0.506
X2G_GW	15	Fish	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	42.61	57.39	0	0	y	215	247	273	406.8	0.0274	0.0274	2.3324	2.6094	0.54
X3G_GW	16	Fish	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	NA	NA	NA	NA	y	190	224	259	282.8	0.022	0.0225	2.2788	2.4515	0.486
X5G_GW	17	Fish	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	59.94	40.06	0	0	y	195	225	252	275.9	NA	0.0199	2.29	2.4408	0.449
X6G_GW	18	Fish	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	38.8	60.11	0	1.09	y	185	218	230	297.7	NA	NA	2.2672	2.4738	0.541
X7G_GW	19	Fish	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	52.23	47.77	0	0	y	222	257	292	404.4	0.0275	0.0263	2.3464	2.6068	0.502
X8G_GW	20	Fish	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	48.19	51.81	0	0	y	210	240	275	346.4	NA	0.0266	2.3222	2.5396	0.483
X1G_HG	14	Fish	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	64.37	35.63	0	0	y	198	231	260	320.7	0.0195	0.0197	2.2967	2.5061	0.506
X2G_HG	15	Fish	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	42.61	57.39	0	0	y	215	247	273	406.8	0.0274	0.0274	2.3324	2.6094	0.54
X3G_HG	16	Fish	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	NA	NA	NA	NA	y	190	224	259	282.8	0.022	0.0225	2.2788	2.4515	0.486
X4G_HG	21	Fish	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	16.42	83.58	0	0	y	187	220	245	290.8	NA	0.0246	2.2718	2.4636	0.517
X5G_HG	17	Fish	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	59.94	40.06	0	0	y	195	225	252	275.9	NA	0.0199	2.29	2.4408	0.449
X6G_HG	18	Fish	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	38.8	60.11	0	1.09	y	185	218	230	297.7	NA	NA	2.2672	2.4738	0.541
X7G_HG	19	Fish	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	52.23	47.77	0	0	y	222	257	292	404.4	0.0275	0.0263	2.3464	2.6068	0.502
X8G_HG	20	Fish	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	48.19	51.81	0	0	y	210	240	275	346.4	NA	0.0266	2.3222	2.5396	0.483
X10NN_GW	22	Fish	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	96.39	2.41	0	1.2	y	150	180	190	162.8	0.0147	0.0155	2.1761	2.2117	0.017
X1NN_GW	23	Fish	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	97.44	2.56	0	0	y	190	214	223	265.4	NA	NA	2.2788	2.4239	0.014
X2NN_GW	24	Fish	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	100	0	0	0	y	155	175	177	169.8	0.0284	0.0284	2.1903	2.2299	0.016
X3NN_GW	25	Fish	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	99.41	0.59	0	0	y	175	200	205	227.9	0.0351	0.0371	2.243	2.3577	0.015
X4NN_GW	26	Fish	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	98.65	1.35	0	0	y	145	165	171	135.3	0.0136	0.0141	2.1614	2.1313	0.015
X5NN_GW	27	Fish	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	NA	NA	NA	NA	y	135	155	158	107.5	0.0116	0.0113	2.1303	2.0314	0.015
X6NN_GW	28	Fish	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	96.59	3.41	0	0	y	175	205	210	233.1	0.0334	0.019	2.243	2.3675	0.016
X7NN_GW	29	Fish	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	92.45	6.92	0	0	y	180	205	210	257.4	0.0313	0.0308	2.2553	2.4106	0.016
X8NN_GW	30	Fish	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	92.31	7.69	0	0	y	185	212	217	281.3	0.03	0.0291	2.2672	2.4492	0.016
X9NN_GW	31	Fish	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	y	100	0	0	0	y	170	202	206	222.3	0.0345	0.0342	2.2304	2.3469	0.016
X10NN_HG	22	Fish	A.nigricans	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	96.39	2.41	0	1.2	y	150	180	190	162.8	0.0147	0.0155	2.1761	2.2117	0.017
X2NN_HG	24	Fish	A.nigricans	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	100	0	0	0	y	155	175	177	169.8	0.0284	0.0284	2.1903	2.2299	0.016
X4NN_HG	26	Fish	A.nigricans	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	98.65	1.35	0	0	y	145	165	171	135.3	0.0136	0.0141	2.1614	2.1313	0.015
X5NN_HG	27	Fish	A.nigricans	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	NA	NA	NA	NA	y	135	155	158	107.5	0.0116	0.0113	2.1303	2.0314	0.015
X6NN_HG	28	Fish	A.nigricans	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	96.59	3.41	0	0	y	175	205	210	233.1	0.0334	0.019	2.243	2.3675	0.016
X7NN_HG	29	Fish	A.nigricans	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	92.45	6.92	0	0	y	180	205	210	257.4	0.0313	0.0308	2.2553	2.4106	0.016
X8NN_HG	30	Fish	A.nigricans	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	92.31	7.69	0	0	y	185	212	217	281.3	0.03	0.0291	2.2672	2.4492	0.016
X9NN_HG	31	Fish	A.nigricans	Non_shifting	HG	South_Algae_Flats	Outer_reef	NA	yes	n	NA	NA	NA	NA	n	100	0	0	0	y	170	202	206	222.3	0.0345	0.0342	2.2304	2.3469	0.016
