SampleID	Sample_Type	Species	Shifting	GutSection	Site	Location	Chao1	Shannon
X8NU_HG	Fish	A.nigricauda	Non_shifting	HG	South_Algae_Flats	Outer_reef	4610.5102	7.388619
X8O_GW	Fish	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	1361.7644	4.55267
X8O_HG	Fish	A.olivaceus	Range_shifting	HG	Keyhole	Outer_reef	1735.8143	5.255336
X8T_GW	Fish	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	629.3134	4.264901
X8T_HG	Fish	A.triostegus	Range_shifting	HG	Lagoon_entrance_east	Lagoon	342.8868	3.776651
X9D_GW	Fish	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	1637.5755	5.282102
X9D_HG	Fish	A.dussumieri	Range_shifting	HG	South_Algae_Flats	Outer_reef	3640.4391	7.264557
X9NN_GW	Fish	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	910.4961	5.548402
X9NN_HG	Fish	A.nigricans	Non_shifting	HG	South_Algae_Flats	Outer_reef	1380	5.650034
X9NU_GW	Fish	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	2963.7222	6.921541
X9NU_HG	Fish	A.nigricauda	Non_shifting	HG	South_Algae_Flats	Outer_reef	3324	6.906983
X9O_GW	Fish	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	860.6418	3.759524
X9O_HG	Fish	A.olivaceus	Range_shifting	HG	Keyhole	Outer_reef	1198.7727	5.073947
X9T_GW	Fish	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	664.5278	4.880069
X9T_HG	Fish	A.triostegus	Range_shifting	HG	Lagoon_entrance_east	Lagoon	642.8133	4.642768
