StomachContent	SampleID	Species	Shifting	GutSection	Site	Location	Content
Detritus	X1B_GW	A.blochii	Non_shifting	GW	Lagoon_entrance_west	Lagoon	60
Detritus	X2B_GW	A.blochii	Non_shifting	GW	Lagoon_entrance_west	Lagoon	95.05
Detritus	X5B_GW	A.blochii	Non_shifting	GW	South_Algae_Flats	Outer_reef	58.33
Detritus	X10D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	30.59
Detritus	X1D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA
Detritus	X2D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	52.58
Detritus	X3D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	65.02
Detritus	X4D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA
Detritus	X5D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	59.22
Detritus	X6D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Detritus	X7D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA
Detritus	X8D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	36.63
Detritus	X9D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	48.21
Detritus	X1G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	35.63
Detritus	X2G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	57.39
Detritus	X3G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA
Detritus	X5G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	40.06
Detritus	X6G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	60.11
Detritus	X7G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	47.77
Detritus	X8G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	51.81
Detritus	X4G_HG	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	83.58
Detritus	X10NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	2.41
Detritus	X1NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	2.56
Detritus	X2NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Detritus	X3NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0.59
Detritus	X4NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	1.35
Detritus	X5NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA
Detritus	X6NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	3.41
Detritus	X7NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	6.92
Detritus	X8NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	7.69
Detritus	X9NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Detritus	X1NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	95.49
Detritus	X2NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	98.45
Detritus	X3NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	97.78
Detritus	X4NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	95.83
